amount,TxID,decimals,symbol,underlyingAsset,timestamp,txHash,UserID,Coin IDs,Transaction Date
2810734946,65138923:97:0x448e7a9eb62a3a10ea70ba3a20fdd17ab783567373d00f580e1fdc734a3ee7d6:403:62,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,1733457353,0x448e7a9eb62a3a10ea70ba3a20fdd17ab783567373d00f580e1fdc734a3ee7d6,0x47b0cccf2d5b49721c1553c993199c8151c30cb4,1,06-Dec-24
852954882,65100283:66:0xf9dfac9851ba17b999d4f6f5d92471aa65dcd74ee70329ab6b1e6d4a86d2ff15:310:30,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,1733374370,0xf9dfac9851ba17b999d4f6f5d92471aa65dcd74ee70329ab6b1e6d4a86d2ff15,0x47b0cccf2d5b49721c1553c993199c8151c30cb4,1,05-Dec-24
2820564238,65100014:49:0xd308df578c798418b57c9cebb0407b9e6afaff26102636202103b0b426291da1:325:47,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,1733373798,0xd308df578c798418b57c9cebb0407b9e6afaff26102636202103b0b426291da1,0x47b0cccf2d5b49721c1553c993199c8151c30cb4,1,05-Dec-24
300000000,65084708:76:0x8af55514f6985c538efaae2af3d4eac05917a3c636061ba7ef5b9445de2dd17d:325:6,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,1733340984,0x8af55514f6985c538efaae2af3d4eac05917a3c636061ba7ef5b9445de2dd17d,0x47b0cccf2d5b49721c1553c993199c8151c30cb4,1,04-Dec-24
1223499533,65046264:49:0x1a8d41cfa0375fe41878f3087b65ce9874a36dfa1bc679ec0f5da6d4639d2de4:392:42,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,1733258583,0x1a8d41cfa0375fe41878f3087b65ce9874a36dfa1bc679ec0f5da6d4639d2de4,0x47b0cccf2d5b49721c1553c993199c8151c30cb4,1,03-Dec-24
2024956739,65046235:37:0x87110e7d7f9713fb61216a1f8743cf41de669a4ab22666173756c9c7b166ec3a:292:48,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,1733258521,0x87110e7d7f9713fb61216a1f8743cf41de669a4ab22666173756c9c7b166ec3a,0x47b0cccf2d5b49721c1553c993199c8151c30cb4,1,03-Dec-24
15000000,65029384:122:0x05d499db2316dc5e41960d7865661b53cb26f8200de52aed920c2f9c583fbd8c:640:6,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,1733222348,0x05d499db2316dc5e41960d7865661b53cb26f8200de52aed920c2f9c583fbd8c,0x47b0cccf2d5b49721c1553c993199c8151c30cb4,1,03-Dec-24
145000000,65021483:185:0xb876f0c565bdd642f4ae5da8f9940cad43c00f201f7720c7ad650e1b76785cd5:773:6,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,1733205301,0xb876f0c565bdd642f4ae5da8f9940cad43c00f201f7720c7ad650e1b76785cd5,0x47b0cccf2d5b49721c1553c993199c8151c30cb4,1,03-Dec-24
100000000,65021304:56:0xa9820b1aecb93c854eb3a35740f1be80b650094bb810286818641a76ec40ba62:711:6,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,1733204921,0xa9820b1aecb93c854eb3a35740f1be80b650094bb810286818641a76ec40ba62,0x47b0cccf2d5b49721c1553c993199c8151c30cb4,1,03-Dec-24
40000000,65021117:63:0xc972ef5ae043c34aa2636526fd2436acc3db84fb9aca04b5dbe55282d313e888:330:6,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,1733204521,0xc972ef5ae043c34aa2636526fd2436acc3db84fb9aca04b5dbe55282d313e888,0x47b0cccf2d5b49721c1553c993199c8151c30cb4,1,03-Dec-24
53000000,65017982:66:0x9fc87cf885a03cacefc49a74cca3bcf03ccae135ed1b56bed99a44063434e97e:248:6,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,1733197687,0x9fc87cf885a03cacefc49a74cca3bcf03ccae135ed1b56bed99a44063434e97e,0x47b0cccf2d5b49721c1553c993199c8151c30cb4,1,03-Dec-24
2814000237,65005536:95:0xa3d3d58aba89ff6fe4debfd2450cdb094e50401a736f0966326aa471a688f39c:821:74,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,1733170032,0xa3d3d58aba89ff6fe4debfd2450cdb094e50401a736f0966326aa471a688f39c,0x47b0cccf2d5b49721c1553c993199c8151c30cb4,1,02-Dec-24
2600966603,64999067:52:0x9d390ab6d227e9b18bf8b7a861fff54745d0f2135346efc0600987dcd0b2a78e:315:46,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,1733155731,0x9d390ab6d227e9b18bf8b7a861fff54745d0f2135346efc0600987dcd0b2a78e,0x47b0cccf2d5b49721c1553c993199c8151c30cb4,1,02-Dec-24
25000000,64975865:41:0x808a2a96a35b886d01bd5f28ab2c701bd448dd1cfbef9276ec63981b3cab4b02:605:6,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,1733105551,0x808a2a96a35b886d01bd5f28ab2c701bd448dd1cfbef9276ec63981b3cab4b02,0x47b0cccf2d5b49721c1553c993199c8151c30cb4,1,02-Dec-24
55000000,64975564:56:0x141cf84fe720c402e4a48fdfdbfb0b770b5246049b6d3e6fd9b765910e82d90b:306:6,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,1733104878,0x141cf84fe720c402e4a48fdfdbfb0b770b5246049b6d3e6fd9b765910e82d90b,0x47b0cccf2d5b49721c1553c993199c8151c30cb4,1,02-Dec-24
50000000,64975454:83:0x316e2e170a46bd67f6ce690920dd1a712b36d59ae8e5f726e42a1f207aab0592:854:6,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,1733104644,0x316e2e170a46bd67f6ce690920dd1a712b36d59ae8e5f726e42a1f207aab0592,0x47b0cccf2d5b49721c1553c993199c8151c30cb4,1,02-Dec-24
35000000,64926276:47:0x6710fb0429330839379a90673910743dba72afdd5c93cc6770ffddf8ae3df070:330:6,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,1732998042,0x6710fb0429330839379a90673910743dba72afdd5c93cc6770ffddf8ae3df070,0x47b0cccf2d5b49721c1553c993199c8151c30cb4,1,30-Nov-24
50000000,64926145:92:0x41f218d0a0262abdd18bed81f951bccdcf81ad3c6ef9e018768b2b11602148dd:504:6,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,1732997764,0x41f218d0a0262abdd18bed81f951bccdcf81ad3c6ef9e018768b2b11602148dd,0x47b0cccf2d5b49721c1553c993199c8151c30cb4,1,30-Nov-24
60000000,64924714:46:0x1e9c5954c8bdc748cd2730ad3228647a4037379bb63a79d3e11be46654c1d84d:364:6,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,1732994717,0x1e9c5954c8bdc748cd2730ad3228647a4037379bb63a79d3e11be46654c1d84d,0x47b0cccf2d5b49721c1553c993199c8151c30cb4,1,30-Nov-24
60000000,64923903:54:0xc73ed83802d2ad5528291106ffef15773052082ad864c4070cff367d31526efe:297:6,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,1732992993,0xc73ed83802d2ad5528291106ffef15773052082ad864c4070cff367d31526efe,0x47b0cccf2d5b49721c1553c993199c8151c30cb4,1,30-Nov-24
2174617421,64875278:38:0x49bf185c099b4b2403fb6ebac7ed1f57aa21b665473a5bfed7ea7f4da8fef840:449:46,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,1732887853,0x49bf185c099b4b2403fb6ebac7ed1f57aa21b665473a5bfed7ea7f4da8fef840,0x47b0cccf2d5b49721c1553c993199c8151c30cb4,1,29-Nov-24
2038344188,64857372:58:0x88ba322a4a7ba1ba6347acc2b4756671a183da459e5fac5b834f683f0f0ea9fd:737:51,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,1732849445,0x88ba322a4a7ba1ba6347acc2b4756671a183da459e5fac5b834f683f0f0ea9fd,0x47b0cccf2d5b49721c1553c993199c8151c30cb4,1,29-Nov-24
964898744,64783142:56:0xd38d9814c492a660e6f3dc42f9a0c1c09254ee41eb4cf9790f533ccc8b670d81:818:36,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,1732690198,0xd38d9814c492a660e6f3dc42f9a0c1c09254ee41eb4cf9790f533ccc8b670d81,0x47b0cccf2d5b49721c1553c993199c8151c30cb4,1,27-Nov-24
962616,64782719:87:0x9c4dbc7fde6329e2a7987719e1e994b632b940d8b03c69daae46f7d51545eeaf:497:33,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,1732689276,0x9c4dbc7fde6329e2a7987719e1e994b632b940d8b03c69daae46f7d51545eeaf,0x47b0cccf2d5b49721c1553c993199c8151c30cb4,1,27-Nov-24
100000000,64757494:92:0x0c59c39d0081804ddbf3e061acbdda75f388fa84a99557ef951c7414770079fd:587:6,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,1732632609,0x0c59c39d0081804ddbf3e061acbdda75f388fa84a99557ef951c7414770079fd,0x47b0cccf2d5b49721c1553c993199c8151c30cb4,1,26-Nov-24
985801046,64753664:78:0x79a01c49d8af211550e44b430630ac8fe8a00937bc3bf10db42ecbba068f2726:813:32,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,1732623415,0x79a01c49d8af211550e44b430630ac8fe8a00937bc3bf10db42ecbba068f2726,0x47b0cccf2d5b49721c1553c993199c8151c30cb4,1,26-Nov-24
30000000,64726847:44:0xeb8a67030d6942c293972157664abe62ee9485178bef09411aa827abaa13161f:212:6,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,1732565399,0xeb8a67030d6942c293972157664abe62ee9485178bef09411aa827abaa13161f,0x47b0cccf2d5b49721c1553c993199c8151c30cb4,1,25-Nov-24
35000000,64723698:157:0x327f8a44db47388029c2699cfff57301e6faaec76f554ce5301f92ac790ecbf8:948:6,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,1732558580,0x327f8a44db47388029c2699cfff57301e6faaec76f554ce5301f92ac790ecbf8,0x47b0cccf2d5b49721c1553c993199c8151c30cb4,1,25-Nov-24
40000000,64723585:148:0xdde2903808eb7513c7dd2e129b8a65147a01d2267306b994d379409a75c71b79:694:6,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,1732558340,0xdde2903808eb7513c7dd2e129b8a65147a01d2267306b994d379409a75c71b79,0x47b0cccf2d5b49721c1553c993199c8151c30cb4,1,25-Nov-24
1049325921,64709994:49:0x3d26ebb158804427c665f0612792ece077b703fac3e8222020a3b82fe257354e:308:34,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,1732528652,0x3d26ebb158804427c665f0612792ece077b703fac3e8222020a3b82fe257354e,0x47b0cccf2d5b49721c1553c993199c8151c30cb4,1,25-Nov-24
778339158,64690101:50:0x0aafd2611cc3bef919b1b0a85b0ca85af2ce12a69427ef8bb57d9acbcc10fd71:292:93,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,1732485474,0x0aafd2611cc3bef919b1b0a85b0ca85af2ce12a69427ef8bb57d9acbcc10fd71,0x47b0cccf2d5b49721c1553c993199c8151c30cb4,1,24-Nov-24
50000000,64655193:65:0x00ce6e3f28d2878c0c82c8aa7945c61a7a5b70509980e0f0df723de76a86b8be:297:6,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,1732409157,0x00ce6e3f28d2878c0c82c8aa7945c61a7a5b70509980e0f0df723de76a86b8be,0x47b0cccf2d5b49721c1553c993199c8151c30cb4,1,24-Nov-24
50000000,64655094:105:0x6de4a8d6fb33eade58602976e229ae2f20d4342f1f26b758d516f1f6299efbe6:358:6,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,1732408947,0x6de4a8d6fb33eade58602976e229ae2f20d4342f1f26b758d516f1f6299efbe6,0x47b0cccf2d5b49721c1553c993199c8151c30cb4,1,24-Nov-24
60000000,64654854:57:0x6fdf463a840cc228c69adde123fc40debda190a49dae36fb3272b37600d87d37:307:6,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,1732408437,0x6fdf463a840cc228c69adde123fc40debda190a49dae36fb3272b37600d87d37,0x47b0cccf2d5b49721c1553c993199c8151c30cb4,1,24-Nov-24
60000000,64654729:41:0x1cf9b82dfa7d3552f23271e72d1e378ca5a2d881f2ba6172d63e363f86805ba2:251:6,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,1732408171,0x1cf9b82dfa7d3552f23271e72d1e378ca5a2d881f2ba6172d63e363f86805ba2,0x47b0cccf2d5b49721c1553c993199c8151c30cb4,1,24-Nov-24
16000000,64650352:57:0x441a75ddfe92fdb8ca7757dbfc5ca2910ca4be8c94f83007146b67ba36341305:349:6,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,1732398572,0x441a75ddfe92fdb8ca7757dbfc5ca2910ca4be8c94f83007146b67ba36341305,0x47b0cccf2d5b49721c1553c993199c8151c30cb4,1,23-Nov-24
50000000,64650252:60:0x20ba96958f1593acc339579d914744a70d99369315424407354e8d551376b549:363:6,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,1732398358,0x20ba96958f1593acc339579d914744a70d99369315424407354e8d551376b549,0x47b0cccf2d5b49721c1553c993199c8151c30cb4,1,23-Nov-24
50000000,64649790:48:0x1383f7d05c34326824d3390df1a3a1e4ebb154a4916adfa8f8cbf6ededb669ac:214:6,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,1732397320,0x1383f7d05c34326824d3390df1a3a1e4ebb154a4916adfa8f8cbf6ededb669ac,0x47b0cccf2d5b49721c1553c993199c8151c30cb4,1,23-Nov-24
55000000,64647018:58:0xb036d40b918e4c36c8bfb30003fa55f063f70bcbe8e63dac3eb766f824a7b3a1:234:6,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,1732391305,0xb036d40b918e4c36c8bfb30003fa55f063f70bcbe8e63dac3eb766f824a7b3a1,0x47b0cccf2d5b49721c1553c993199c8151c30cb4,1,23-Nov-24
